Classification,Clustering,Classifier_Accuracy,Clustering_Accuracy,constant_threshold,correlation_threshold,resampling,feature_selection_k
K Nearest Neighbors,KMeans,0.39873417721518994,0.31645569620253167,0.7,0.9,True,16
K Nearest Neighbors,DBScan,0.39873417721518994,0.2848101265822785,0.7,0.9,True,16
Neural Network,KMeans,0.35654008438818563,0.310126582278481,0.7,0.9,True,16
Neural Network,DBScan,0.35654008438818563,0.29324894514767935,0.7,0.9,True,16
Random Forest,KMeans,0.5189873417721519,0.3924050632911393,0.7,0.9,True,16
Random Forest,DBScan,0.5189873417721519,0.34810126582278483,0.7,0.9,True,16
Kernel SVM (linear),KMeans,0.4177215189873418,0.33544303797468356,0.7,0.9,True,16
Kernel SVM (linear),DBScan,0.4177215189873418,0.27426160337552746,0.7,0.9,True,16
Kernel SVM (poly),KMeans,0.39451476793248946,0.31223628691983124,0.7,0.9,True,16
Kernel SVM (poly),DBScan,0.39451476793248946,0.23417721518987342,0.7,0.9,True,16
Kernel SVM (rbf),KMeans,0.4535864978902953,0.37974683544303794,0.7,0.9,True,16
Kernel SVM (rbf),DBScan,0.4535864978902953,0.339662447257384,0.7,0.9,True,16
Kernel SVM (sigmoid),KMeans,0.3860759493670886,0.2805907172995781,0.7,0.9,True,16
Kernel SVM (sigmoid),DBScan,0.3860759493670886,0.22995780590717296,0.7,0.9,True,16
K Nearest Neighbors,KMeans,0.4367088607594936,0.2848101265822785,0.7,0.9,True,32
K Nearest Neighbors,DBScan,0.4367088607594936,0.1772151898734177,0.7,0.9,True,32
Neural Network,KMeans,0.35864978902953587,0.34388185654008446,0.7,0.9,True,32
Neural Network,DBScan,0.35864978902953587,0.2911392405063291,0.7,0.9,True,32
Random Forest,KMeans,0.5232067510548523,0.3417721518987342,0.7,0.9,True,32
Random Forest,DBScan,0.5232067510548523,0.21518987341772153,0.7,0.9,True,32
Kernel SVM (linear),KMeans,0.37763713080168776,0.31223628691983124,0.7,0.9,True,32
Kernel SVM (linear),DBScan,0.37763713080168776,0.25316455696202533,0.7,0.9,True,32
